编号1,编号2,编号3,编号4,编号5,存储内容,count
A,1,1,1,1,,1
A,1,1,1,2,,1
A,1,1,1,3,,1
A,1,1,1,4,,1
A,1,1,1,5,,1
A,1,1,2,1,,1
A,1,1,2,2,,1
A,1,1,2,3,,1
A,1,1,2,4,,1
A,1,1,2,5,,1
A,1,1,3,1,,1
A,1,1,3,2,,1
A,1,1,3,3,,1
A,1,1,3,4,,1
A,1,1,3,5,,1
A,1,1,4,1,,1
A,1,1,4,2,,1
A,1,1,4,3,,1
A,1,1,4,4,,1
A,1,1,4,5,,1
A,1,2,1,1,,1
A,1,2,1,2,,1
A,1,2,1,3,,1
A,1,2,1,4,,1
A,1,2,1,5,,1
A,1,2,2,1,,1
A,1,2,2,2,,1
A,1,2,2,3,,1
A,1,2,2,4,,1
A,1,2,2,5,,1
A,1,2,3,1,,1
A,1,2,3,2,,1
A,1,2,3,3,,1
A,1,2,3,4,,1
A,1,2,3,5,,1
A,1,2,4,1,,1
A,1,2,4,2,,1
A,1,2,4,3,,1
A,1,2,4,4,,1
A,1,2,4,5,,1
A,1,3,1,1,,1
A,1,3,1,2,,1
A,1,3,1,3,,1
A,1,3,1,4,,1
A,1,3,1,5,,1
A,1,3,2,1,,1
A,1,3,2,2,,1
A,1,3,2,3,,1
A,1,3,2,4,,1
A,1,3,2,5,,1
A,1,3,3,1,,1
A,1,3,3,2,,1
A,1,3,3,3,,1
A,1,3,3,4,,1
A,1,3,3,5,,1
A,1,3,4,1,,1
A,1,3,4,2,,1
A,1,3,4,3,,1
A,1,3,4,4,,1
A,1,3,4,5,,1
A,1,4,1,1,Dyt,1
A,1,4,1,2,Dyt,1
A,1,4,1,3,Dyt,1
A,1,4,1,4,Dyt,1
A,1,4,1,5,Dyt,1
A,1,4,2,1,Dyt,1
A,1,4,2,2,Dyt,1
A,1,4,2,3,Dyt,1
A,1,4,2,4,Dyt,1
A,1,4,2,5,Dyt,1
A,1,4,3,1,Dyt,1
A,1,4,3,2,Dyt,1
A,1,4,3,3,Dyt,1
A,1,4,3,4,Dyt,1
A,1,4,3,5,Dyt,1
A,1,4,4,1,Dyt,1
A,1,4,4,2,Dyt,1
A,1,4,4,3,Dyt,1
A,1,4,4,4,Dyt,1
A,1,4,4,5,Dyt,1
A,1,5,1,1,卡尼鄂拉,1
A,1,5,1,2,Dyt,1
A,1,5,1,3,卡尼鄂拉,1
A,1,5,1,4,李晨伊不同饲养方式样品,1
A,1,5,1,5,原意蜜蜂,1
A,1,5,2,1,高加索蜜蜂,1
A,1,5,2,2,未明确标识,1
A,1,5,2,3,B5025,1
A,1,5,2,4,B6211,1
A,1,5,2,5,B3876,1
A,1,5,3,1,高加索蜜蜂,1
A,1,5,3,2,奥森蜜蜂,1
A,1,5,3,3,B5468,1
A,1,5,3,4,北京怀柔蜜蜂,1
A,1,5,3,5,西蜂菌,1
A,1,5,4,1,卡尼鄂拉,1
A,1,5,4,2,Dyt,1
A,1,5,4,3,Dyt,1
A,1,5,4,4,原意工蜂,1
A,1,5,4,5,门头沟蜜蜂,1
A,2,1,1,1,B0233,1
A,2,1,1,2,卵巢,1
A,2,1,1,3,卵巢,1
A,2,1,1,4,B4388,1
A,2,1,1,5,B3373,1
A,2,1,2,1,B3038,1
A,2,1,2,2,B5029,1
A,2,1,2,3,W7299,1
A,2,1,2,4,W7137,1
A,2,1,2,5,B7218,1
A,2,1,3,1,B3495,1
A,2,1,3,2,B2957,1
A,2,1,3,3,B3496,1
A,2,1,3,4,B2896,1
A,2,1,3,5,B3531,1
A,2,1,4,1,,1
A,2,1,4,2,,1
A,2,1,4,3,,1
A,2,1,4,4,,1
A,2,1,4,5,B3602,1
A,2,2,1,1,B3329,1
A,2,2,1,2,B3607,1
A,2,2,1,3,B2816,1
A,2,2,1,4,Dyt,1
A,2,2,1,5,B2815,1
A,2,2,2,1,B3940,1
A,2,2,2,2,B4276,1
A,2,2,2,3,B2647,1
A,2,2,2,4,B3255,1
A,2,2,2,5,B2848,1
A,2,2,3,1,B3725,1
A,2,2,3,2,WJQ,1
A,2,2,3,3,B2615,1
A,2,2,3,4,B3170,1
A,2,2,3,5,B2680,1
A,2,2,4,1,Dyt,1
A,2,2,4,2,B3808,1
A,2,2,4,3,,1
A,2,2,4,4,,1
A,2,2,4,5,,1
A,2,3,1,1,M0038,1
A,2,3,1,2,B4355,1
A,2,3,1,3,B3839,1
A,2,3,1,4,B14902,1
A,2,3,1,5,B14748,1
A,2,3,2,1,B4032,1
A,2,3,2,2,B4901,1
A,2,3,2,3,B3642,1
A,2,3,2,4,B2536,1
A,2,3,2,5,B14955,1
A,2,3,3,1,王朗植物,1
A,2,3,3,2,王朗植物,1
A,2,3,3,3,,1
A,2,3,3,4,,1
A,2,3,3,5,,1
A,2,3,4,1,西高所植物,1
A,2,3,4,2,西高所植物,1
A,2,3,4,3,西高所植物,1
A,2,3,4,4,西高所植物,1
A,2,3,4,5,西高所植物,1
A,2,4,1,1,未明确标识,1
A,2,4,1,2,张文隽,1
A,2,4,1,3,张文隽,1
A,2,4,1,4,张文隽,1
A,2,4,1,5,张文隽,1
A,2,4,2,1,张文隽,1
A,2,4,2,2,张文隽,1
A,2,4,2,3,张文隽,1
A,2,4,2,4,张文隽,1
A,2,4,2,5,张文隽,1
A,2,4,3,1,张文隽,1
A,2,4,3,2,张文隽,1
A,2,4,3,3,张文隽,1
A,2,4,3,4,张文隽,1
A,2,4,3,5,张文隽,1
A,2,4,4,1,张文隽,1
A,2,4,4,2,张文隽,1
A,2,4,4,3,张文隽,1
A,2,4,4,4,张文隽,1
A,2,4,4,5,张文隽,1
A,2,5,1,1,B13743,1
A,2,5,1,2,B13744,1
A,2,5,1,3,B13745,1
A,2,5,1,4,B13800,1
A,2,5,1,5,B13870,1
A,2,5,2,1,B14332,1
A,2,5,2,2,B9330,1
A,2,5,2,3,B9331,1
A,2,5,2,4,B9332,1
A,2,5,2,5,B3718,1
A,2,5,3,1,B9329,1
A,2,5,3,2,B9494,1
A,2,5,3,3,B14644,1
A,2,5,3,4,B9493,1
A,2,5,3,5,B14760,1
A,2,5,4,1,B13919,1
A,2,5,4,2,B14515,1
A,2,5,4,3,B14634,1
A,2,5,4,4,B14586,1
A,2,5,4,5,B14831,1
A,3,1,1,1,B5572,1
A,3,1,1,2,B7256,1
A,3,1,1,3,B7258,1
A,3,1,1,4,B5381,1
A,3,1,1,5,B7124,1
A,3,1,2,1,B5266,1
A,3,1,2,2,陕西中蜂,1
A,3,1,2,3,李晨伊陕西中蜂,1
A,3,1,2,4,B14639,1
A,3,1,2,5,B14637,1
A,3,1,3,1,陕西中蜂,1
A,3,1,3,2,云南红河中蜂,1
A,3,1,3,3,B14636,1
A,3,1,3,4,云南红河中蜂,1
A,3,1,3,5,B14638,1
A,3,1,4,1,李晨伊陕西中蜂,1
A,3,1,4,2,陕西中蜂,1
A,3,1,4,3,湖北中蜂,1
A,3,1,4,4,B9147,1
A,3,1,4,5,B9149,1
A,3,2,1,1,B9156,1
A,3,2,1,2,B5906,1
A,3,2,1,3,B4123,1
A,3,2,1,4,B6011,1
A,3,2,1,5,B6012,1
A,3,2,2,1,B9155,1
A,3,2,2,2,未明确标识,1
A,3,2,2,3,B5759,1
A,3,2,2,4,李晨伊不同饲养方式,1
A,3,2,2,5,李晨伊不同饲养方式,1
A,3,2,3,1,B9693,1
A,3,2,3,2,四川中蜂肠道,1
A,3,2,3,3,四川中蜂肠道,1
A,3,2,3,4,东南亚中蜂,1
A,3,2,3,5,B0265,1
A,3,2,4,1,西蜂肠道,1
A,3,2,4,2,B5758,1
A,3,2,4,3,B5770,1
A,3,2,4,4,B6157,1
A,3,2,4,5,B9577,1
A,3,3,1,1,B7125,1
A,3,3,1,2,B7259,1
A,3,3,1,3,B6547,1
A,3,3,1,4,B7257,1
A,3,3,1,5,B7255,1
A,3,3,2,1,B10424,1
A,3,3,2,2,B7960,1
A,3,3,2,3,B7126,1
A,3,3,2,4,B5443,1
A,3,3,2,5,B6881,1
A,3,3,3,1,B8251,1
A,3,3,3,2,B7946,1
A,3,3,3,3,B7947,1
A,3,3,3,4,B7201,1
A,3,3,3,5,B5332,1
A,3,3,4,1,B7945,1
A,3,3,4,2,B7944,1
A,3,3,4,3,B8187,1
A,3,3,4,4,B8188,1
A,3,3,4,5,B3754,1
A,3,4,1,1,B5159,1
A,3,4,1,2,B6516,1
A,3,4,1,3,B6519,1
A,3,4,1,4,B7942,1
A,3,4,1,5,B6518,1
A,3,4,2,1,B6602,1
A,3,4,2,2,B6517,1
A,3,4,2,3,B7941,1
A,3,4,2,4,B7943,1
A,3,4,2,5,B6882,1
A,3,4,3,1,B7265,1
A,3,4,3,2,B7855,1
A,3,4,3,3,B7854,1
A,3,4,3,4,B7269,1
A,3,4,3,5,B7266,1
A,3,4,4,1,云南红河中蜂,1
A,3,4,4,2,青海东方蜜蜂,1
A,3,4,4,3,CAU,1
A,3,4,4,4,B14641,1
A,3,4,4,5,B7270,1
A,3,5,1,1,B7264,1
A,3,5,1,2,B14640,1
A,3,5,1,3,B14642,1
A,3,5,1,4,B14643,1
A,3,5,1,5,CAUBee,1
A,3,5,2,1,B7260,1
A,3,5,2,2,B7262,1
A,3,5,2,3,B7263,1
A,3,5,2,4,红河,1
A,3,5,2,5,B4480,1
A,3,5,3,1,青海东方蜜蜂,1
A,3,5,3,2,B2006,1
A,3,5,3,3,B9210,1
A,3,5,3,4,B2442,1
A,3,5,3,5,B4557,1
A,3,5,4,1,B9153,1
A,3,5,4,2,B10850,1
A,3,5,4,3,B4725,1
A,3,5,4,4,B4548,1
A,3,5,4,5,B5200,1
A,4,1,1,1,小石蛾,1
A,4,1,1,2,罗老师样品,1
A,4,1,1,3,郭丽珍样品,1
A,4,1,1,4,郭丽珍样品,1
A,4,1,1,5,膜翅目（足）、膜翅目（DNA）,1
A,4,2,1,1,1Kite,1
A,4,2,2,1,1Kite,1
A,4,3,1,1,1Kite,1
A,4,3,2,1,1Kite,1
B,1,1,1,1,B17753,1
B,1,1,1,2,B17754,1
B,1,1,1,3,B17755,1
B,1,1,1,4,B17758,1
B,1,1,1,5,B17756,1
B,1,1,2,1,B17757,1
B,1,1,2,2,B11181,1
B,1,1,2,3,B11486,1
B,1,1,2,4,B11179,1
B,1,1,2,5,B17781,1
B,1,1,3,1,B11490,1
B,1,1,3,2,B11180,1
B,1,1,3,3,B15906,1
B,1,1,3,4,B11117,1
B,1,1,3,5,\,1
B,1,1,4,1,B15819,1
B,1,1,4,2,B15905,1
B,1,1,4,3,B11086,1
B,1,1,4,4,B15594,1
B,1,1,4,5,B9154,1
B,1,1,5,1,,1
B,1,1,5,2,,1
B,1,1,5,3,,1
B,1,1,5,4,,1
B,1,1,5,5,,1
B,1,2,1,1,B11364,1
B,1,2,1,2,B15908,1
B,1,2,1,3,B15820,1
B,1,2,1,4,B11171,1
B,1,2,1,5,B15915,1
B,1,2,2,1,B11091,1
B,1,2,2,2,B15924,1
B,1,2,2,3,B15907,1
B,1,2,2,4,B15916,1
B,1,2,2,5,B11429,1
B,1,2,3,1,B11417,1
B,1,2,3,2,B15685,1
B,1,2,3,3,B11158,1
B,1,2,3,4,B11363,1
B,1,2,3,5,B15821,1
B,1,2,4,1,B11418,1
B,1,2,4,2,B11457,1
B,1,2,4,3,M1113,1
B,1,2,4,4,B15684,1
B,1,2,4,5,,1
B,1,2,5,1,,1
B,1,2,5,2,,1
B,1,2,5,3,,1
B,1,2,5,4,,1
B,1,2,5,5,,1
B,1,3,1,1,,1
B,1,3,1,2,,1
B,1,3,1,3,,1
B,1,3,1,4,,1
B,1,3,1,5,,1
B,1,3,2,1,B16469,1
B,1,3,2,2,B16470,1
B,1,3,2,3,B16471,1
B,1,3,2,4,B16472,1
B,1,3,2,5,B16473,1
B,1,3,3,1,B16474,1
B,1,3,3,2,B18771,1
B,1,3,3,3,B18772,1
B,1,3,3,4,B18773,1
B,1,3,3,5,B18774,1
B,1,3,4,1,B18776,1
B,1,3,4,2,B18777,1
B,1,3,4,3,B18778,1
B,1,3,4,4,B18779,1
B,1,3,4,5,B18780,1
B,1,3,5,1,B18781,1
B,1,3,5,2,,1
B,1,3,5,3,,1
B,1,3,5,4,,1
B,1,3,5,5,,1
B,1,4,1,1,B11177,1
B,1,4,1,2,B11176,1
B,1,4,1,3,B11489,1
B,1,4,1,4,B11175,1
B,1,4,1,5,B11178,1
B,1,4,2,1,B11174,1
B,1,4,2,2,B11173,1
B,1,4,2,3,B11172,1
B,1,4,2,4,,1
B,1,4,2,5,,1
B,1,4,3,1,B16713,1
B,1,4,3,2,B16840,1
B,1,4,3,3,B16714,1
B,1,4,3,4,,1
B,1,4,3,5,,1
B,1,4,4,1,,1
B,1,4,4,2,,1
B,1,4,4,3,,1
B,1,4,4,4,,1
B,1,4,4,5,,1
B,1,4,5,1,,1
B,1,4,5,2,,1
B,1,4,5,3,,1
B,1,4,5,4,,1
B,1,4,5,5,,1
B,1,5,1,1,,1
B,1,5,1,2,,1
B,1,5,1,3,,1
B,1,5,1,4,,1
B,1,5,1,5,,1
B,1,5,2,1,,1
B,1,5,2,2,,1
B,1,5,2,3,,1
B,1,5,2,4,,1
B,1,5,2,5,,1
B,1,5,3,1,,1
B,1,5,3,2,,1
B,1,5,3,3,,1
B,1,5,3,4,,1
B,1,5,3,5,,1
B,1,5,4,1,,1
B,1,5,4,2,,1
B,1,5,4,3,,1
B,1,5,4,4,,1
B,1,5,4,5,,1
B,1,5,5,1,,1
B,1,5,5,2,,1
B,1,5,5,3,,1
B,1,5,5,4,,1
B,1,5,5,5,,1
B,1,6,1,1,,1
B,1,6,1,2,,1
B,1,6,1,3,,1
B,1,6,1,4,,1
B,1,6,1,5,,1
B,1,6,2,1,,1
B,1,6,2,2,,1
B,1,6,2,3,,1
B,1,6,2,4,,1
B,1,6,2,5,,1
B,1,6,3,1,,1
B,1,6,3,2,,1
B,1,6,3,3,,1
B,1,6,3,4,,1
B,1,6,3,5,,1
B,1,6,4,1,,1
B,1,6,4,2,,1
